site,unit_type,total_area,decimal_area,percent_area
SANONO,cascade,0.23993061565641022,0.002347931145924511,0.23479311459245109
SANONO,glide,1.175,0.011498403773581085,1.1498403773581085
SANONO,pool,72.96741637043993,0.7140500559509181,71.40500559509181
SANONO,riffle,27.80575,0.2721036091295764,27.210360912957636
ARRHON,cascade,0.4167733196834942,0.0023848923469197065,0.23848923469197064
ARRHON,glide,16.48875,0.0943531935180871,9.43531935180871
ARRHON,pool,137.75883785991243,0.7882942180227793,78.82942180227793
ARRHON,riffle,20.09125,0.11496769611221393,11.496769611221392
MARYGN,cascade,3.9900882600116567,0.01196547363976544,1.1965473639765438
MARYGN,glide,20.25,0.06072568460040588,6.072568460040588
MARYGN,pool,279.320966326077,0.8376275014023675,83.76275014023675
MARYGN,riffle,29.90575,0.08968134035746114,8.968134035746115
SANROQ,cascade,0.8322568941603637,0.004293567433382976,0.4293567433382976
SANROQ,glide,7.30375,0.0376796435831368,3.76796435831368
SANROQ,pool,173.62757928319218,0.8957351091690581,89.5735109169058
SANROQ,riffle,12.0745,0.06229167981442209,6.229167981442209
RATTLE,cascade,1.3823292512757293,0.008818838604943329,0.8818838604943329
RATTLE,glide,3.3075,0.021100840236818474,2.110084023681847
RATTLE,pool,131.3637333144487,0.8380605138564506,83.80605138564506
RATTLE,riffle,20.69375,0.13201980730178756,13.201980730178756
COLSPW,cascade,1.4339952792074988,0.02696721286788021,2.696721286788021
COLSPW,pool,3.993514041427005,0.07510062606729638,7.510062606729638
COLSPW,riffle,47.748,0.8979321610648233,89.79321610648233
COLSPE,cascade,10.310441696909598,0.0826896148990577,8.26896148990577
COLSPE,glide,3.42,0.02742835770455324,2.742835770455324
COLSPE,pool,25.924029878341273,0.20791039901949424,20.791039901949425
COLSPE,riffle,85.034,0.6819716283768948,68.19716283768949
HOTSPR,cascade,9.826685049698055,0.11453990814804454,11.453990814804454
HOTSPR,glide,7.24,0.08438948951735495,8.438948951735496
HOTSPR,pool,7.7459893865073335,0.09028730526715514,9.028730526715515
HOTSPR,riffle,60.980000000000004,0.7107832970674454,71.07832970674454
SANYSI,cascade,2.598248571368668,0.02020341589324729,2.020341589324729
SANYSI,glide,7,0.05443047782692854,5.443047782692854
SANYSI,pool,20.161170854412497,0.15676888045085963,15.676888045085963
SANYSI,riffle,98.845,0.7685972258289645,76.85972258289645
ROMERO,cascade,4.483768978837086,0.035115020072603205,3.5115020072603205
ROMERO,glide,1.65,0.012922116057554464,1.2922116057554465
ROMERO,pool,13.726796400778904,0.10750257950865812,10.750257950865812
ROMERO,riffle,107.8275,0.8444602843611843,84.44602843611843
GOBERN,cascade,0.06403124237432849,5.478069023006299e-4,0.05478069023006299
GOBERN,pool,3.577488634275377,0.030606511666620744,3.0606511666620744
GOBERN,riffle,113.245,0.9688456814310786,96.88456814310786
